Date,Last Value
2014-11-26 00:00:00,47.75
2014-11-28 00:00:00,47.810001
2014-12-01 00:00:00,48.619999
2014-12-02 00:00:00,48.459999
2014-12-03 00:00:00,48.080002
2014-12-04 00:00:00,48.84
2014-12-05 00:00:00,48.419998
2014-12-08 00:00:00,47.700001
2014-12-09 00:00:00,47.59
2014-12-10 00:00:00,46.900002
2014-12-11 00:00:00,47.169998
2014-12-12 00:00:00,46.950001
2014-12-15 00:00:00,46.669998
2014-12-16 00:00:00,45.16
2014-12-17 00:00:00,45.740002
2014-12-18 00:00:00,47.52
2014-12-19 00:00:00,47.66
2014-12-22 00:00:00,47.98
2014-12-23 00:00:00,48.450001
2014-12-24 00:00:00,48.139999
2014-12-26 00:00:00,47.880001
2014-12-29 00:00:00,47.450001
2014-12-30 00:00:00,47.02
2014-12-31 00:00:00,46.450001
2015-01-02 00:00:00,46.759998
2015-01-05 00:00:00,46.330002
2015-01-06 00:00:00,45.650002
2015-01-07 00:00:00,46.23
2015-01-08 00:00:00,47.59
2015-01-09 00:00:00,47.189999
2015-01-12 00:00:00,46.599998
2015-01-13 00:00:00,46.360001
2015-01-14 00:00:00,45.959999
2015-01-15 00:00:00,45.48
2015-01-16 00:00:00,46.240002
2015-01-20 00:00:00,46.389999
2015-01-21 00:00:00,45.919998
2015-01-22 00:00:00,47.130001
2015-01-23 00:00:00,47.18
2015-01-26 00:00:00,47.009998
2015-01-27 00:00:00,42.66
2015-01-28 00:00:00,41.189999
2015-01-29 00:00:00,42.009998
2015-01-30 00:00:00,40.400002
2015-02-02 00:00:00,41.279999
2015-02-03 00:00:00,41.599998
2015-02-04 00:00:00,41.84
2015-02-05 00:00:00,42.450001
2015-02-06 00:00:00,42.41
2015-02-09 00:00:00,42.360001
2015-02-10 00:00:00,42.599998
2015-02-11 00:00:00,42.380001
2015-02-12 00:00:00,43.09
2015-02-13 00:00:00,43.869999
2015-02-17 00:00:00,43.580002
2015-02-18 00:00:00,43.529999
2015-02-19 00:00:00,43.5
2015-02-20 00:00:00,43.860001
2015-02-23 00:00:00,44.150002
2015-02-24 00:00:00,44.09
2015-02-25 00:00:00,43.990002
2015-02-26 00:00:00,44.060001
